TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
/SAPDMC/LSMW,"LSM Workbench: Initial Screen",https://www.sap-tcodes.org/tcode//sapdmc/lsmw.html,/SAPDMC/SAPMLSMW,/SAPDMC/LSMW,"Legacy System Migration Workbench",BC-SRV-DX-LSM,"Legacy System Migration Workbench",https://www.sap-tcodes.org/analytics/module/bc-srv-dx-lsm.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
/SSF/AB,"Analysis browser & Download",https://www.sap-tcodes.org/tcode//ssf/ab.html,/SSF/DLBROWSER,/SSF/,"Service Software Framework",BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,ST-A/PI,"Servicetools for SAP Basis 731",https://www.sap-tcodes.org/analytics/component/st-a/pi.html
/SSF/PB,"Project browser & test environment",https://www.sap-tcodes.org/tcode//ssf/pb.html,/SSF/PROJBROWSER,/SSF/,"Service Software Framework",BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,ST-A/PI,"Servicetools for SAP Basis 731",https://www.sap-tcodes.org/analytics/component/st-a/pi.html
0000,"Dialog Box for Customizing",https://www.sap-tcodes.org/tcode/0000.html,RSTN0000,SCSC,"R/3 Customizing Tools",BC-CUS-TOL-IMG,"Implementation Guide",https://www.sap-tcodes.org/analytics/module/bc-cus-tol-img.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
0817_CHG,"Change Object",https://www.sap-tcodes.org/tcode/0817_chg.html,SAPLOA0817,SAOO,"SAP ArchiveLink Business Objects",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
0817_CUST,"SAP ArchiveLink: Bar Code Entry",https://www.sap-tcodes.org/tcode/0817_cust.html," ",SAOO,"SAP ArchiveLink Business Objects",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
0817_DIS,"Display Object",https://www.sap-tcodes.org/tcode/0817_dis.html,SAPLOA0817,SAOO,"SAP ArchiveLink Business Objects",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
0817_INS,"Create Object",https://www.sap-tcodes.org/tcode/0817_ins.html,SAPLOA0817,SAOO,"SAP ArchiveLink Business Objects",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
0REP,"Start of program, etc. from IMG",https://www.sap-tcodes.org/tcode/0rep.html,RSIMGEXE,AISB,"Audit Info System BC",BC-SEC-AIS,"System Audit Information System",https://www.sap-tcodes.org/analytics/module/bc-sec-ais.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
ABAPDOCU,"Display ABAP Documentation",https://www.sap-tcodes.org/tcode/abapdocu.html,ABAP_DOCU_START,SABAPDOCU,"ABAP Documentation Objects in ABAP Workbench",BC-ABA-LA,"Syntax, Compiler, Runtime",https://www.sap-tcodes.org/analytics/module/bc-aba-la.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
