TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
/BEV1/10000557,(empty),https://www.sap-tcodes.org/tcode//bev1/10000557.html,SAPLS_CUS_IMG_ACTIVITY,/BEV1/NE,"Empties Management in MM: General",MM-PUR-EM,"Empties Management (When Extension EA-CP Is Active)",https://www.sap-tcodes.org/analytics/module/mm-pur-em.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV1/10000796,(empty),https://www.sap-tcodes.org/tcode//bev1/10000796.html,SAPLS_CUS_IMG_ACTIVITY,/BEV1/NEPO,"Empties Management: Purchasing",MM-PUR-EM-PO,"Empties Management in Purchase Orders",https://www.sap-tcodes.org/analytics/module/mm-pur-em-po.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV1/NEMB51,"Material Document List (w. Empties)",https://www.sap-tcodes.org/tcode//bev1/nemb51.html,/BEV1/NERM07DOCS,/BEV1/NE,"Empties Management in MM: General",MM-PUR-EM,"Empties Management (When Extension EA-CP Is Active)",https://www.sap-tcodes.org/analytics/module/mm-pur-em.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV1/NE_LISTBALPO,"Empties Balances in Purchasing",https://www.sap-tcodes.org/tcode//bev1/ne_listbalpo.html,/BEV1/NE_LISTBALPO,/BEV1/NE_EHP4,"Enhancement Package for Empties for EhP4",MM-PUR-EM,"Empties Management (When Extension EA-CP Is Active)",https://www.sap-tcodes.org/analytics/module/mm-pur-em.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/01000033,(empty),https://www.sap-tcodes.org/tcode//bev2/01000033.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/ED,"Excise Duty",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/01000034,(empty),https://www.sap-tcodes.org/tcode//bev2/01000034.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/ED,"Excise Duty",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/01002113,(empty),https://www.sap-tcodes.org/tcode//bev2/01002113.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/ED,"Excise Duty",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/85000021,(empty),https://www.sap-tcodes.org/tcode//bev2/85000021.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/CS,"Excise Duty EMCS",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/85000022,(empty),https://www.sap-tcodes.org/tcode//bev2/85000022.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/CS,"Excise Duty EMCS",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
/BEV2/85000023,(empty),https://www.sap-tcodes.org/tcode//bev2/85000023.html,SAPLS_CUS_IMG_ACTIVITY,/BEV2/CS,"Excise Duty EMCS",MM-IM-ED,"Excise Duty",https://www.sap-tcodes.org/analytics/module/mm-im-ed.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,EA-APPL,"SAP Enterprise Extension PLM, SCM, Financials",https://www.sap-tcodes.org/analytics/component/ea-appl.html
