TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
MM00,(empty),https://www.sap-tcodes.org/tcode/mm00.html,MENUMM00,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM01,"Create Material &",https://www.sap-tcodes.org/tcode/mm01.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM02,"Change Material &",https://www.sap-tcodes.org/tcode/mm02.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM03,"Display Material &",https://www.sap-tcodes.org/tcode/mm03.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM04,"Display Material Change Documents",https://www.sap-tcodes.org/tcode/mm04.html,SAPMM03A,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM06,"Flag Material for Deletion",https://www.sap-tcodes.org/tcode/mm06.html,SAPMM03G,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM11,"Schedule Creation of Material &",https://www.sap-tcodes.org/tcode/mm11.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM12,"Schedule Changing of Material &",https://www.sap-tcodes.org/tcode/mm12.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM13,"Activate Planned Changes",https://www.sap-tcodes.org/tcode/mm13.html,MMCHACTV,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM14,"Display Planned Changes",https://www.sap-tcodes.org/tcode/mm14.html,SAPMM03A,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM15,"Display Changes (Migration)",https://www.sap-tcodes.org/tcode/mm15.html,SAPMM03A,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM16,"Schedule Material for Deletion",https://www.sap-tcodes.org/tcode/mm16.html,SAPMM03G,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM17,"Mass Maintenance: Indus. Matl Master",https://www.sap-tcodes.org/tcode/mm17.html," ",MGA,"Application development R/3 material master from 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM18,"Activate Planned Changes",https://www.sap-tcodes.org/tcode/mm18.html,SAPMM03M,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM19,"Display Material & at Key Date",https://www.sap-tcodes.org/tcode/mm19.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
